Cluster,Source,Target,Days,RMSE_TL,MAE_TL,RMSE_BASE,MAE_BASE
1,Building_15,Building_3,7,0.7281111983731777,0.5082465759306961,1.1316696188599298,0.9049894751455517
1,Building_15,Building_3,14,0.8273615729120058,0.5987716394147135,1.3106815746693679,1.0507550591892225
1,Building_15,Building_3,21,0.7862299441701524,0.5691799899699863,1.1225255890263706,0.8640338953863178
1,Building_15,Building_3,28,0.768527372729519,0.5436984650776634,1.1962140199909839,0.9411629011023172
1,Building_15,Building_3,35,0.8370394312818035,0.6101551678093659,1.1147642564056266,0.864218644851409
1,Building_15,Building_3,42,0.7565847589857979,0.5381966281574293,1.2045048006779653,0.943382774445528
1,Building_15,Building_3,49,0.9896224443000343,0.7418573360002023,1.2542661558446655,0.9860138759201428
1,Building_15,Building_3,56,0.7253674070061513,0.5039682122549766,0.9510277219787019,0.6958325307259929
1,Building_15,Building_3,63,0.6913161587004082,0.49050161873990944,0.8104817840229512,0.5694041661110016
1,Building_15,Building_3,70,0.7121440418188691,0.5049183356141776,0.819251094410266,0.5688363298993053
1,Building_15,Building_3,77,0.6582141507504704,0.45813633117252833,0.815984740379549,0.5782019547298698
1,Building_15,Building_3,84,0.6775924516247878,0.47046620087094654,0.8730238948636242,0.6255002317418534
1,Building_15,Building_3,91,0.65130569365101,0.45750422104683786,0.9397742406442663,0.6791998852968111
1,Building_15,Building_3,98,0.7066774954590551,0.5062241493639816,0.9180773949418185,0.6599216258085265
1,Building_15,Building_3,105,0.7197753470011722,0.5152996844450213,0.8596387813771909,0.5990254059662519
1,Building_15,Building_3,112,0.6830697489679722,0.4737147590170619,0.9328654355546432,0.6504841213372393
1,Building_15,Building_3,119,0.7403543807441271,0.5242132906423415,0.9341680477925784,0.6712492442450847
1,Building_15,Building_3,126,0.641860335435834,0.4426215855155816,0.6972337649762944,0.4930882148016913
1,Building_15,Building_3,133,0.6489306420893718,0.4416297631158232,0.6431553033753434,0.42907188963335485
1,Building_15,Building_3,140,0.6862208158419633,0.48629071701318777,0.66553106513092,0.4622875006793975
1,Building_15,Building_3,147,0.7919622812601699,0.5699940775836835,0.7129610423965846,0.5066794125437013
1,Building_15,Building_3,154,0.7660480968665463,0.562523924674819,0.6832428613629715,0.48246498120206943
1,Building_15,Building_3,161,0.7578618502263468,0.5462536465679707,0.6100832114647553,0.39577347077573627
1,Building_15,Building_3,168,0.6642277201447365,0.45238618105657036,0.624343788551726,0.4081057815517375
1,Building_15,Building_3,175,0.4755548432275684,0.29722293462780225,0.46591000009408295,0.26514857223698235
1,Building_15,Building_3,182,0.434944481535521,0.25193037053889916,0.36561725177880366,0.2158588996306198
1,Building_15,Building_3,189,0.3950843671810513,0.23551591862784274,0.382007612389049,0.20788362203973912
1,Building_15,Building_3,196,0.4059647104905398,0.22987775932187712,0.3795031890128208,0.20853201426037515
1,Building_15,Building_3,203,0.4011256236108955,0.24244646697204086,0.3630167136309588,0.19879862168261384
1,Building_15,Building_3,210,0.42569561676203893,0.2462326965328655,0.3925543416800487,0.21618898164895436
1,Building_15,Building_3,217,0.4293397920944782,0.2445990520608766,0.37300285785009263,0.19603939754203029
1,Building_15,Building_3,224,0.41792545505469864,0.24430746711006188,0.374681904339291,0.20712059529745477
1,Building_15,Building_3,231,0.3857128971828513,0.22987699020442137,0.39769962852909646,0.21255145073711532
1,Building_15,Building_3,238,0.41342450154562155,0.24672811115924959,0.389454706853706,0.20744915103755102
1,Building_15,Building_3,240,0.43289460192700707,0.2650204243078386,0.42126661131350995,0.23245081096665712
1,Building_15,Building_9,7,0.9462501117979061,0.6327191068791393,1.084103167099877,0.7081103343615192
1,Building_15,Building_9,14,0.9269603752952886,0.6258653443977135,1.094360762173756,0.7945296136988241
1,Building_15,Building_9,21,0.9336289438950353,0.632206880431208,1.2959753111025896,0.9091607766960214
1,Building_15,Building_9,28,0.9565305756472644,0.6556784747423903,1.1848100406950663,0.8369174434049467
1,Building_15,Building_9,35,0.9145633571010261,0.6324805122426733,1.1083851609621527,0.7769488542287489
1,Building_15,Building_9,42,0.9282785358142008,0.6191322580607855,0.9904718656046669,0.6843068856113291
1,Building_15,Building_9,49,0.9775613047149473,0.6570720254303734,0.9991760383704048,0.6081865407125809
1,Building_15,Building_9,56,0.8914157163044069,0.5504962708833915,1.0197930360278045,0.5830690263181604
1,Building_15,Building_9,63,0.9308781348736921,0.5608634956019343,1.042014781282778,0.6194740619672113
1,Building_15,Building_9,70,0.9371903801458554,0.5605616227220787,0.9636034452245632,0.5594138640688019
1,Building_15,Building_9,77,0.9547747343784593,0.59269894801197,1.0293101068326511,0.6463556937826742
1,Building_15,Building_9,84,0.9334972926052191,0.5532787606454759,0.9791922915847181,0.6090336348843155
1,Building_15,Building_9,91,0.9473888890194837,0.5696024310833365,0.9592438476454361,0.5350942161006543
1,Building_15,Building_9,98,0.9345260093603153,0.5786494798836905,1.0293147198083348,0.6199039597404145
1,Building_15,Building_9,105,0.9721718020588982,0.6123153124704809,1.0038652160010704,0.6001178661154267
1,Building_15,Building_9,112,0.9233824536901964,0.5622390379968004,1.078630960187352,0.6704131830202696
1,Building_15,Building_9,119,0.9252419934467964,0.5719750520752899,1.1136499038547572,0.7057033935514723
1,Building_15,Building_9,126,0.9136753667776207,0.5258439247976678,0.9209141709514737,0.5242703324824868
1,Building_15,Building_9,133,0.9750411856580627,0.5518674390581475,0.953199158504916,0.5119504001413252
1,Building_15,Building_9,140,0.8872101079010666,0.4905491240873848,0.8967446210521659,0.48304415648985605
1,Building_15,Building_9,147,0.8384723977454003,0.4675599488417957,0.8981251052180236,0.49361077402046344
1,Building_15,Building_9,154,0.8493311739002167,0.47926655501516646,0.8439862849308076,0.47240548637929924
1,Building_15,Building_9,161,0.7440154539759753,0.4489226222088546,0.7753057594729309,0.43361453030004515
1,Building_15,Building_9,168,0.7498107694847729,0.3810444446257165,0.7290440656644616,0.3481491185664138
1,Building_15,Building_9,175,0.7426968964776195,0.36452525739957,0.6177534951056155,0.2958642099654997
1,Building_15,Building_9,182,0.6180138419973774,0.3171398109522066,0.47230942482576266,0.23437560975114122
1,Building_15,Building_9,189,0.5316269882159641,0.26446220058253284,0.49508801254886214,0.21955081890662595
1,Building_15,Building_9,196,0.5607652132922285,0.2842995075490645,0.4381676309255338,0.21589826439591833
1,Building_15,Building_9,203,0.5347984017995269,0.2638094129940497,0.44527868636491,0.20568395031326644
1,Building_15,Building_9,210,0.61706738862739,0.28357824547924526,0.41077611191112323,0.20466017159357294
1,Building_15,Building_9,217,0.5521415862169129,0.29404463493073335,0.40890560843371904,0.1997919656045759
1,Building_15,Building_9,224,0.6226089616772894,0.2934539791077992,0.47238616033712455,0.2310012291351298
1,Building_15,Building_9,231,0.601556911795702,0.31944085096079883,0.4669484139146332,0.21578604420365363
1,Building_15,Building_9,238,0.5304124611840006,0.2622210576924929,0.4679483321543202,0.2119125967295093
1,Building_15,Building_9,240,0.5628369713704483,0.28020415168522905,0.5308627536483282,0.2283866190275146
