Cluster,Source,Target,Days,RMSE_TL,MAE_TL,RMSE_BASE,MAE_BASE
4,Building_6,Building_4,7,1.3432777936671934,0.9760856758684352,2.2549795302489093,1.7777876759676188
4,Building_6,Building_4,14,1.418620287702357,1.0254274199904518,2.1852283457733424,1.7133081559493897
4,Building_6,Building_4,21,1.4532335129128082,1.05022579940702,2.2028533305665245,1.8027737224944484
4,Building_6,Building_4,28,1.3917485806535923,1.0100078831277703,1.9274735194068906,1.4779613097143964
4,Building_6,Building_4,35,1.4204062487676221,1.0290023087835374,2.0779513037599746,1.6547218378076787
4,Building_6,Building_4,42,1.4431125786346395,1.0447861871630968,2.137576388200855,1.6859427496909785
4,Building_6,Building_4,49,1.3750486772665478,0.9974594743922535,2.3007045785082703,1.8487010510321948
4,Building_6,Building_4,56,1.2239348892103927,0.8983382638182313,1.6150830081197558,1.1706973851956046
4,Building_6,Building_4,63,1.361181579336963,0.9732082245915399,1.7730648636818511,1.2899011681666117
4,Building_6,Building_4,70,1.361465510135985,0.9698067345577824,1.7096913814333738,1.2555019201162725
4,Building_6,Building_4,77,1.308515136916573,0.9377247996288125,1.7619177199616722,1.27458293572909
4,Building_6,Building_4,84,1.4066710207058553,1.0000546135455222,1.7763910005868235,1.3073707135630133
4,Building_6,Building_4,91,1.3529986714992508,0.9684046689404168,1.8124823863977417,1.3428558206663004
4,Building_6,Building_4,98,1.3125449634171895,0.9426621372895244,1.903117614634834,1.442078042913245
4,Building_6,Building_4,105,1.3468166373530095,0.9732774965950631,1.7826060996465065,1.329618541217521
4,Building_6,Building_4,112,1.3430237691454998,0.9639478661348918,1.9018632781160738,1.4022351693232684
4,Building_6,Building_4,119,1.3840293977470965,0.9913294735814367,1.5835724391144266,1.1411976877639178
4,Building_6,Building_4,126,1.2473586048088023,0.856588508004697,1.2653127173504894,0.8678651274074146
4,Building_6,Building_4,133,1.1829869560683883,0.8252401315965372,1.1435468241574231,0.7802240109583771
4,Building_6,Building_4,140,1.1499862559331733,0.8036966014001217,1.3094494190219534,0.8885944686029319
4,Building_6,Building_4,147,1.2443262464340579,0.8646759769373341,1.2393842319254649,0.837565471952697
4,Building_6,Building_4,154,1.2565666992623183,0.8719986673051751,1.3538860739760639,0.9265562241897664
4,Building_6,Building_4,161,1.008766012842667,0.6879746895513995,1.060255677498317,0.7038282536301005
4,Building_6,Building_4,168,0.9034212022695638,0.6135134158133279,0.990394192268073,0.6446591915897377
4,Building_6,Building_4,175,0.9101970937467169,0.6078888750187561,0.8337943087469205,0.5418861320562254
4,Building_6,Building_4,182,0.7295195673917015,0.49886993607855995,0.6612184448359032,0.4372478659480517
4,Building_6,Building_4,189,0.7273361679106963,0.5170869039428088,0.6330258980795781,0.4188512570383434
4,Building_6,Building_4,196,0.7118208701596662,0.4862420811900482,0.6397264262903787,0.4232238398845296
4,Building_6,Building_4,203,0.7119251617242299,0.4901994523825662,0.6184726113652635,0.4029793230147057
4,Building_6,Building_4,210,0.7180617988242299,0.4892294878501715,0.6461683372915663,0.43362741189938653
4,Building_6,Building_4,217,0.7141872061436075,0.48636128259942,0.6252316358167644,0.4119358400425986
