Cluster,Source,Target,Days,RMSE_TL,MAE_TL
1,Building_15,Building_3,7,0.7512786098986479,0.6316336456813666
1,Building_15,Building_3,14,1.0140358000505152,0.8122673407635266
1,Building_15,Building_3,28,1.0140358000505152,0.8122673407635266
1,Building_15,Building_3,42,1.0140358000505152,0.8122673407635266
1,Building_15,Building_9,7,1.0403117634979242,0.8007877280042596
1,Building_15,Building_9,14,0.9599244114733476,0.6956450536129154
1,Building_15,Building_9,28,0.9599244114733476,0.6956450536129154
1,Building_15,Building_9,42,0.9599244114733476,0.6956450536129154
